# Time(a.u.)  Energy(a.u.)  mu_x(a.u.)  mu_y(a.u.)  mu_z(a.u.)
0.0000000000E+00 -9.2211022202E+01 1.6960991903E-06 1.6960991887E-06 9.1266024262E-01
4.0000000000E-02 -9.2211022081E+01 7.2367756874E-06 7.2367756854E-06 9.1269584690E-01
8.0000000000E-02 -9.2211021867E+01 1.6840661169E-05 1.6840661167E-05 9.1275928377E-01
1.2000000000E-01 -9.2211021728E+01 2.8848266753E-05 2.8848266750E-05 9.1284244964E-01
1.6000000000E-01 -9.2211021729E+01 4.0492018284E-05 4.0492018281E-05 9.1293009686E-01
2.0000000000E-01 -9.2211021730E+01 5.0428509941E-05 5.0428509938E-05 9.1301462136E-01
2.4000000000E-01 -9.2211021731E+01 5.8856710828E-05 5.8856710824E-05 9.1309623757E-01
2.8000000000E-01 -9.2211021732E+01 6.6315385091E-05 6.6315385087E-05 9.1317569373E-01
3.2000000000E-01 -9.2211021734E+01 7.3526252176E-05 7.3526252171E-05 9.1325400415E-01
3.6000000000E-01 -9.2211021737E+01 8.1197365344E-05 8.1197365339E-05 9.1333212736E-01
4.0000000000E-01 -9.2211021740E+01 8.9843223953E-05 8.9843223948E-05 9.1341068602E-01
4.4000000000E-01 -9.2211021743E+01 9.9670918211E-05 9.9670918206E-05 9.1348980658E-01
4.8000000000E-01 -9.2211021746E+01 1.1056006351E-04 1.1056006350E-04 9.1356911463E-01
5.2000000000E-01 -9.2211021749E+01 1.2213531043E-04 1.2213531042E-04 9.1364787143E-01
5.6000000000E-01 -9.2211021752E+01 1.3390282418E-04 1.3390282417E-04 9.1372519462E-01
6.0000000000E-01 -9.2211021755E+01 1.4540463566E-04 1.4540463566E-04 9.1380028505E-01
6.4000000000E-01 -9.2211021758E+01 1.5634224662E-04 1.5634224661E-04 9.1387258800E-01
6.8000000000E-01 -9.2211021761E+01 1.6663362037E-04 1.6663362036E-04 9.1394184682E-01
7.2000000000E-01 -9.2211021765E+01 1.7639121692E-04 1.7639121691E-04 9.1400804898E-01
7.6000000000E-01 -9.2211021769E+01 1.8583524291E-04 1.8583524290E-04 9.1407130244E-01
8.0000000000E-01 -9.2211021772E+01 1.9517719656E-04 1.9517719655E-04 9.1413170232E-01
8.4000000000E-01 -9.2211021776E+01 2.0451744827E-04 2.0451744826E-04 9.1418924525E-01
8.8000000000E-01 -9.2211021779E+01 2.1379439978E-04 2.1379439977E-04 9.1424382493E-01
9.2000000000E-01 -9.2211021782E+01 2.2280393726E-04 2.2280393725E-04 9.1429530607E-01
9.6000000000E-01 -9.2211021785E+01 2.3128275991E-04 2.3128275990E-04 9.1434363948E-01
1.0000000000E+00 -9.2211021788E+01 2.3902609422E-04 2.3902609421E-04 9.1438896181E-01
1.0400000000E+00 -9.2211021792E+01 2.4599700969E-04 2.4599700968E-04 9.1443162674E-01
1.0800000000E+00 -9.2211021794E+01 2.5238560116E-04 2.5238560115E-04 9.1447213958E-01
1.1200000000E+00 -9.2211021797E+01 2.5859161909E-04 2.5859161908E-04 9.1451100521E-01
1.1600000000E+00 -9.2211021800E+01 2.6512897829E-04 2.6512897828E-04 9.1454853587E-01
1.2000000000E+00 -9.2211021802E+01 2.7247703563E-04 2.7247703562E-04 9.1458468727E-01
1.2400000000E+00 -9.2211021805E+01 2.8092299485E-04 2.8092299484E-04 9.1461898860E-01
1.2800000000E+00 -9.2211021807E+01 2.9044572805E-04 2.9044572804E-04 9.1465060573E-01
1.3200000000E+00 -9.2211021809E+01 3.0068133785E-04 3.0068133784E-04 9.1467853354E-01
1.3600000000E+00 -9.2211021811E+01 3.1098756252E-04 3.1098756251E-04 9.1470186856E-01
1.4000000000E+00 -9.2211021813E+01 3.2059453980E-04 3.2059453978E-04 9.1472008191E-01
1.4400000000E+00 -9.2211021814E+01 3.2880254076E-04 3.2880254075E-04 9.1473320670E-01
1.4800000000E+00 -9.2211021816E+01 3.3517146447E-04 3.3517146446E-04 9.1474187583E-01
