# Time(a.u.)  Energy(a.u.)  mu_x(a.u.)  mu_y(a.u.)  mu_z(a.u.)
0.0000000000E+00 -9.1675125147E+01 7.8635350817E-07 7.8635350940E-07 9.6502499472E-01
4.0000000000E-02 -9.1675125147E+01 1.9786071108E-06 1.9786071117E-06 9.6503242097E-01
8.0000000000E-02 -9.1675125147E+01 3.0406735637E-06 3.0406735642E-06 9.6503962650E-01
1.2000000000E-01 -9.1675125147E+01 3.9421431846E-06 3.9421431847E-06 9.6504655458E-01
1.6000000000E-01 -9.1675125147E+01 4.6970223187E-06 4.6970223185E-06 9.6505321905E-01
2.0000000000E-01 -9.1675125147E+01 5.3576189639E-06 5.3576189634E-06 9.6505969319E-01
2.4000000000E-01 -9.1675125147E+01 5.9972083883E-06 5.9972083875E-06 9.6506608083E-01
2.8000000000E-01 -9.1675125147E+01 6.6873357919E-06 6.6873357908E-06 9.6507247996E-01
3.2000000000E-01 -9.1675125147E+01 7.4771309069E-06 7.4771309055E-06 9.6507895111E-01
3.6000000000E-01 -9.1675125147E+01 8.3810433229E-06 8.3810433213E-06 9.6508550040E-01
4.0000000000E-01 -9.1675125147E+01 9.3783448762E-06 9.3783448742E-06 9.6509208150E-01
4.4000000000E-01 -9.1675125147E+01 1.0423683123E-05 1.0423683120E-05 9.6509861394E-01
4.8000000000E-01 -9.1675125147E+01 1.1464323565E-05 1.1464323562E-05 9.6510500973E-01
5.2000000000E-01 -9.1675125147E+01 1.2457727141E-05 1.2457727137E-05 9.6511119802E-01
5.6000000000E-01 -9.1675125148E+01 1.3383407878E-05 1.3383407874E-05 9.6511713965E-01
6.0000000000E-01 -9.1675125148E+01 1.4245421990E-05 1.4245421985E-05 9.6512282758E-01
6.4000000000E-01 -9.1675125148E+01 1.5065434373E-05 1.5065434368E-05 9.6512827562E-01
6.8000000000E-01 -9.1675125148E+01 1.5869771129E-05 1.5869771124E-05 9.6513350189E-01
7.2000000000E-01 -9.1675125148E+01 1.6675951201E-05 1.6675951196E-05 9.6513851496E-01
7.6000000000E-01 -9.1675125148E+01 1.7484168454E-05 1.7484168448E-05 9.6514330894E-01
8.0000000000E-01 -9.1675125148E+01 1.8277112890E-05 1.8277112884E-05 9.6514786896E-01
8.4000000000E-01 -9.1675125148E+01 1.9028172095E-05 1.9028172089E-05 9.6515218375E-01
8.8000000000E-01 -9.1675125148E+01 1.9714695980E-05 1.9714695973E-05 9.6515625857E-01
9.2000000000E-01 -9.1675125148E+01 2.0330896945E-05 2.0330896938E-05 9.6516012123E-01
9.6000000000E-01 -9.1675125149E+01 2.0894897504E-05 2.0894897496E-05 9.6516381688E-01
1.0000000000E+00 -9.1675125149E+01 2.1446483896E-05 2.1446483887E-05 9.6516739220E-01
1.0400000000E+00 -9.1675125149E+01 2.2035559206E-05 2.2035559196E-05 9.6517087439E-01
1.0800000000E+00 -9.1675125149E+01 2.2704873341E-05 2.2704873331E-05 9.6517425357E-01
1.1200000000E+00 -9.1675125149E+01 2.3473020869E-05 2.3473020859E-05 9.6517747657E-01
1.1600000000E+00 -9.1675125149E+01 2.4324018003E-05 2.4324017992E-05 9.6518045651E-01
1.2000000000E+00 -9.1675125149E+01 2.5207807835E-05 2.5207807824E-05 9.6518309650E-01
1.2400000000E+00 -9.1675125149E+01 2.6052424347E-05 2.6052424335E-05 9.6518532030E-01
1.2800000000E+00 -9.1675125149E+01 2.6784502904E-05 2.6784502892E-05 9.6518709955E-01
1.3200000000E+00 -9.1675125149E+01 2.7351770404E-05 2.7351770391E-05 9.6518846754E-01
1.3600000000E+00 -9.1675125149E+01 2.7740178921E-05 2.7740178908E-05 9.6518951371E-01
1.4000000000E+00 -9.1675125149E+01 2.7979854045E-05 2.7979854031E-05 9.6519035971E-01
1.4400000000E+00 -9.1675125149E+01 2.8137551812E-05 2.8137551798E-05 9.6519112429E-01
1.4800000000E+00 -9.1675125149E+01 2.8297691973E-05 2.8297691957E-05 9.6519188818E-01
1.5200000000E+00 -9.1675125149E+01 2.8537788973E-05 2.8537788957E-05 9.6519267065E-01
1.5600000000E+00 -9.1675125149E+01 2.8905962997E-05 2.8905962981E-05 9.6519342533E-01
1.6000000000E+00 -9.1675125150E+01 2.9407546654E-05 2.9407546637E-05 9.6519405644E-01
1.6400000000E+00 -9.1675125150E+01 3.0004831284E-05 3.0004831267E-05 9.6519445000E-01
1.6800000000E+00 -9.1675125150E+01 3.0629724490E-05 3.0629724471E-05 9.6519450924E-01
1.7200000000E+00 -9.1675125150E+01 3.1204956929E-05 3.1204956910E-05 9.6519418317E-01
1.7600000000E+00 -9.1675125150E+01 3.1666861727E-05 3.1666861707E-05 9.6519347926E-01
1.8000000000E+00 -9.1675125150E+01 3.1982502114E-05 3.1982502093E-05 9.6519245755E-01
1.8400000000E+00 -9.1675125150E+01 3.2156073279E-05 3.2156073257E-05 9.6519120946E-01
1.8800000000E+00 -9.1675125150E+01 3.2223265927E-05 3.2223265904E-05 9.6518982963E-01
1.9200000000E+00 -9.1675125150E+01 3.2236329855E-05 3.2236329832E-05 9.6518839045E-01
1.9600000000E+00 -9.1675125150E+01 3.2245523736E-05 3.2245523712E-05 9.6518692737E-01
2.0000000000E+00 -9.1675125150E+01 3.2283504136E-05 3.2283504112E-05 9.6518543807E-01
2.0400000000E+00 -9.1675125150E+01 3.2357761787E-05 3.2357761762E-05 9.6518389376E-01
2.0800000000E+00 -9.1675125150E+01 3.2453040561E-05 3.2453040535E-05 9.6518225642E-01
2.1200000000E+00 -9.1675125150E+01 3.2541954143E-05 3.2541954116E-05 9.6518049469E-01
2.1600000000E+00 -9.1675125150E+01 3.2599095051E-05 3.2599095023E-05 9.6517859262E-01
2.2000000000E+00 -9.1675125150E+01 3.2612845248E-05 3.2612845219E-05 9.6517654923E-01
2.2400000000E+00 -9.1675125150E+01 3.2590202805E-05 3.2590202775E-05 9.6517437101E-01
2.2800000000E+00 -9.1675125150E+01 3.2552791302E-05 3.2552791271E-05 9.6517206244E-01
2.3200000000E+00 -9.1675125150E+01 3.2525741182E-05 3.2525741150E-05 9.6516962003E-01
2.3600000000E+00 -9.1675125150E+01 3.2524007603E-05 3.2524007570E-05 9.6516703343E-01
2.4000000000E+00 -9.1675125149E+01 3.2541837743E-05 3.2541837709E-05 9.6516429357E-01
2.4400000000E+00 -9.1675125149E+01 3.2550072335E-05 3.2550072301E-05 9.6516140405E-01
2.4800000000E+00 -9.1675125149E+01 3.2503108724E-05 3.2503108689E-05 9.6515839023E-01
2.5200000000E+00 -9.1675125149E+01 3.2353690511E-05 3.2353690475E-05 9.6515530058E-01
2.5600000000E+00 -9.1675125149E+01 3.2070559548E-05 3.2070559511E-05 9.6515219806E-01
2.6000000000E+00 -9.1675125149E+01 3.1652580360E-05 3.1652580322E-05 9.6514914309E-01
2.6400000000E+00 -9.1675125149E+01 3.1133803936E-05 3.1133803897E-05 9.6514617375E-01
2.6800000000E+00 -9.1675125149E+01 3.0576846211E-05 3.0576846171E-05 9.6514329034E-01
2.7200000000E+00 -9.1675125149E+01 3.0055943955E-05 3.0055943913E-05 9.6514045075E-01
2.7600000000E+00 -9.1675125149E+01 2.9634736271E-05 2.9634736228E-05 9.6513757968E-01
2.8000000000E+00 -9.1675125149E+01 2.9345896054E-05 2.9345896010E-05 9.6513458953E-01
2.8400000000E+00 -9.1675125149E+01 2.9179431227E-05 2.9179431183E-05 9.6513140702E-01
2.8800000000E+00 -9.1675125149E+01 2.9083833831E-05 2.9083833785E-05 9.6512799681E-01
2.9200000000E+00 -9.1675125149E+01 2.8980130980E-05 2.8980130933E-05 9.6512437426E-01
2.9600000000E+00 -9.1675125149E+01 2.8784664334E-05 2.8784664286E-05 9.6512060288E-01
3.0000000000E+00 -9.1675125149E+01 2.8433524918E-05 2.8433524869E-05 9.6511677693E-01
3.0400000000E+00 -9.1675125149E+01 2.7900987270E-05 2.7900987221E-05 9.6511299480E-01
3.0800000000E+00 -9.1675125149E+01 2.7206226251E-05 2.7206226200E-05 9.6510933129E-01
3.1200000000E+00 -9.1675125149E+01 2.6406410290E-05 2.6406410237E-05 9.6510581761E-01
3.1600000000E+00 -9.1675125149E+01 2.5578662313E-05 2.5578662260E-05 9.6510243482E-01
3.2000000000E+00 -9.1675125149E+01 2.4796888727E-05 2.4796888673E-05 9.6509912216E-01
3.2400000000E+00 -9.1675125148E+01 2.4110937191E-05 2.4110937136E-05 9.6509579678E-01
3.2800000000E+00 -9.1675125148E+01 2.3534504946E-05 2.3534504890E-05 9.6509237816E-01
3.3200000000E+00 -9.1675125148E+01 2.3045087197E-05 2.3045087140E-05 9.6508880957E-01
3.3600000000E+00 -9.1675125148E+01 2.2595142154E-05 2.2595142096E-05 9.6508507043E-01
3.4000000000E+00 -9.1675125148E+01 2.2129981022E-05 2.2129980963E-05 9.6508117717E-01
3.4400000000E+00 -9.1675125148E+01 2.1605907796E-05 2.1605907735E-05 9.6507717373E-01
3.4800000000E+00 -9.1675125148E+01 2.1002463083E-05 2.1002463021E-05 9.6507311625E-01
3.5200000000E+00 -9.1675125148E+01 2.0325075602E-05 2.0325075539E-05 9.6506905740E-01
3.5600000000E+00 -9.1675125148E+01 1.9598063293E-05 1.9598063228E-05 9.6506503505E-01
3.6000000000E+00 -9.1675125148E+01 1.8851423725E-05 1.8851423659E-05 9.6506106770E-01
3.6400000000E+00 -9.1675125148E+01 1.8106960645E-05 1.8106960578E-05 9.6505715618E-01
3.6800000000E+00 -9.1675125148E+01 1.7369282408E-05 1.7369282341E-05 9.6505328922E-01
3.7200000000E+00 -9.1675125148E+01 1.6625127769E-05 1.6625127701E-05 9.6504944965E-01
3.7600000000E+00 -9.1675125148E+01 1.5851124615E-05 1.5851124546E-05 9.6504561865E-01
3.8000000000E+00 -9.1675125148E+01 1.5026724369E-05 1.5026724299E-05 9.6504177735E-01
3.8400000000E+00 -9.1675125148E+01 1.4146935602E-05 1.4146935531E-05 9.6503790638E-01
3.8800000000E+00 -9.1675125148E+01 1.3229405770E-05 1.3229405698E-05 9.6503398567E-01
3.9200000000E+00 -9.1675125148E+01 1.2312422947E-05 1.2312422873E-05 9.6502999597E-01
3.9600000000E+00 -9.1675125148E+01 1.1443811388E-05 1.1443811313E-05 9.6502592312E-01
4.0000000000E+00 -9.1675125148E+01 1.0664240021E-05 1.0664239944E-05 9.6502176390E-01
4.0400000000E+00 -9.1675125148E+01 9.9908405717E-06 9.9908404943E-06 9.6501753122E-01
4.0800000000E+00 -9.1675125148E+01 9.4073292767E-06 9.4073291983E-06 9.6501325600E-01
4.1200000000E+00 -9.1675125148E+01 8.8648636287E-06 8.8648635492E-06 9.6500898376E-01
4.1600000000E+00 -9.1675125148E+01 8.2942744001E-06 8.2942743196E-06 9.6500476580E-01
4.2000000000E+00 -9.1675125148E+01 7.6263233657E-06 7.6263232843E-06 9.6500064695E-01
4.2400000000E+00 -9.1675125148E+01 6.8136510665E-06 6.8136509841E-06 9.6499665333E-01
4.2800000000E+00 -9.1675125148E+01 5.8471777057E-06 5.8471776223E-06 9.6499278421E-01
4.3200000000E+00 -9.1675125148E+01 4.7612775151E-06 4.7612774307E-06 9.6498901083E-01
