# Frequency(cm-1)   Transmittance
355.000000   0.964468
358.196598   0.960691
361.393197   0.956938
364.589795   0.952071
367.786393   0.948489
370.982991   0.943520
374.179590   0.939181
377.376188   0.934877
380.572786   0.929685
383.769385   0.925701
386.965983   0.920532
390.162581   0.916037
393.359180   0.911604
396.555778   0.906482
399.752376   0.902506
402.948974   0.897527
406.145573   0.893255
409.342171   0.889076
412.538769   0.884374
415.735368   0.880763
418.931966   0.876305
422.128564   0.872574
425.325163   0.868962
428.521761   0.864961
431.718359   0.861995
434.914957   0.858315
438.111556   0.855366
441.308154   0.852553
444.504752   0.849457
447.701351   0.847339
450.897949   0.844611
454.094547   0.842601
457.291146   0.840721
460.487744   0.838554
463.684342   0.837089
466.880940   0.835748
470.077539   0.834881
473.274137   0.834096
476.470735   0.833150
479.667334   0.833064
482.863932   0.832519
486.060530   0.832657
489.257129   0.832946
492.453727   0.833145
495.650325   0.834167
498.846923   0.834798
502.043522   0.836100
505.240120   0.837550
508.436718   0.838941
511.633317   0.841090
514.829915   0.842865
518.026513   0.845257
521.223112   0.847753
524.419710   0.850185
527.616308   0.853297
530.812906   0.856040
534.009505   0.859349
537.206103   0.862724
540.402701   0.866032
543.599300   0.869947
546.795898   0.873491
549.992496   0.877546
553.189095   0.881618
556.385693   0.885605
559.582291   0.890116
562.778889   0.894234
565.975488   0.898794
569.172086   0.903304
572.368684   0.907692
575.565283   0.912505
578.761881   0.916882
581.958479   0.921617
585.155078   0.926220
588.351676   0.930649
591.548274   0.935394
594.744872   0.939654
597.941471   0.944183
601.138069   0.948498
604.334667   0.952587
607.531266   0.956890
610.727864   0.960659
613.924462   0.964616
617.121061   0.968281
620.317659   0.971674
623.514257   0.975185
626.710855   0.978124
629.907454   0.981179
633.104052   0.983879
636.300650   0.986276
639.497249   0.988714
642.693847   0.990563
645.890445   0.992480
649.087044   0.994005
652.283642   0.995224
655.480240   0.996440
658.676838   0.997079
661.873437   0.997771
665.070035   0.998070
668.266633   0.998092
671.463232   0.998101
674.659830   0.997581
677.856428   0.997131
681.053027   0.996322
684.249625   0.995293
687.446223   0.994275
690.642821   0.992803
693.839420   0.991443
697.036018   0.989785
700.232616   0.987985
703.429215   0.986241
706.625813   0.984134
709.822411   0.982198
713.019010   0.980037
716.215608   0.977820
719.412206   0.975715
722.608804   0.973342
725.805403   0.971200
729.002001   0.968909
732.198599   0.966645
735.395198   0.964545
738.591796   0.962266
741.788394   0.960271
744.984992   0.958197
748.181591   0.956218
751.378189   0.954448
754.574787   0.952573
757.771386   0.951023
760.967984   0.949447
764.164582   0.948021
767.361181   0.946832
770.557779   0.945595
773.754377   0.944708
776.950975   0.943831
780.147574   0.943139
783.344172   0.942698
786.540770   0.942245
789.737369   0.942148
792.933967   0.942081
796.130565   0.942214
799.327164   0.942594
802.523762   0.942977
805.720360   0.943706
808.916958   0.944463
812.113557   0.945414
815.310155   0.946590
818.506753   0.947765
821.703352   0.949254
824.899950   0.950750
828.096548   0.952414
831.293147   0.954260
834.489745   0.956077
837.686343   0.958158
840.882941   0.960202
844.079540   0.962367
847.276138   0.964650
850.472736   0.966855
853.669335   0.969251
856.865933   0.971546
860.062531   0.973893
863.259130   0.976275
866.455728   0.978509
869.652326   0.980845
872.848924   0.982996
876.045523   0.985115
879.242121   0.987170
882.438719   0.988994
885.635318   0.990820
888.831916   0.992368
892.028514   0.993793
895.225113   0.995051
898.421711   0.995996
901.618309   0.996842
904.814907   0.997326
908.011506   0.997602
911.208104   0.997624
914.404702   0.997264
917.601301   0.996727
920.797899   0.995765
923.994497   0.994540
927.191096   0.993003
930.387694   0.991051
933.584292   0.988880
936.780890   0.986263
939.977489   0.983370
943.174087   0.980152
946.370685   0.976533
949.567284   0.972700
952.763882   0.968450
955.960480   0.963958
959.157079   0.959177
962.353677   0.954055
965.550275   0.948770
968.746873   0.943139
971.943472   0.937342
975.140070   0.931332
978.336668   0.925075
981.533267   0.918738
984.729865   0.912158
987.926463   0.905509
991.123062   0.898744
994.319660   0.891843
997.516258   0.884960
1000.712856   0.877942
1003.909455   0.870959
1007.106053   0.863961
1010.302651   0.856934
1013.499250   0.850018
1016.695848   0.843070
1019.892446   0.836248
1023.089045   0.829501
1026.285643   0.822817
1029.482241   0.816321
1032.678839   0.809879
1035.875438   0.803636
1039.072036   0.797536
1042.268634   0.791573
1045.465233   0.785853
1048.661831   0.780250
1051.858429   0.774898
1055.055028   0.769738
1058.251626   0.764764
1061.448224   0.760072
1064.644822   0.755539
1067.841421   0.751292
1071.038019   0.747269
1074.234617   0.743464
1077.431216   0.739964
1080.627814   0.736652
1083.824412   0.733645
1087.021011   0.730883
1090.217609   0.728359
1093.414207   0.726152
1096.610805   0.724151
1099.807404   0.722465
1103.004002   0.721035
1106.200600   0.719854
1109.397199   0.718995
1112.593797   0.718352
1115.790395   0.718027
1118.986993   0.717961
1122.183592   0.718151
1125.380190   0.718662
1128.576788   0.719391
1131.773387   0.720438
1134.969985   0.721743
1138.166583   0.723303
1141.363182   0.725177
1144.559780   0.727268
1147.756378   0.729670
1150.952976   0.732321
1154.149575   0.735220
1157.346173   0.738422
1160.542771   0.741830
1163.739370   0.745533
1166.935968   0.749471
1170.132566   0.753639
1173.329165   0.758088
1176.525763   0.762722
1179.722361   0.767624
1182.918959   0.772732
